h1, h2, h3, h4, h5, h6, h7, d1, d2, d3, d4, d5, d6, d7, d8, d9, d10, d11, clase, 2.8486643379939127, 8.743127335656325, 12.924854242931893, 10.409261849659543, -22.076322018221227, 14.780827160285318, 24.581298210351424, 0.0, 1.0, 0.7891725620742102, 0.7829503361855239, 0.39038872699212307, 0.4107479322118093, 0.8439720187167536, 0.7980724330059512, 1.086454895446917, 2.2021345155709504, 22.323787312449085, 0
h1, h2, h3, h4, h5, h6, h7, d1, d2, d3, d4, d5, d6, d7, d8, d9, d10, d11, clase, 3.0035170042152597, 8.753598472170877, 12.094262366912915, 11.032588922315073, -22.596021010669656, -15.409389460009134, -24.859825922349504, 0.0, 1.0, 0.6962870467187064, 1.5761410986990438, 0.02464948608938371, 0.44721061252351324, 0.12044205432461691, 0.301376809005959, 0.13491741398886242, 0.9341439332541466, 11.55348191153086, 0
h1, h2, h3, h4, h5, h6, h7, d1, d2, d3, d4, d5, d6, d7, d8, d9, d10, d11, clase, 2.953447568578141, 10.512860717904806, 13.471273936805302, 13.511355487043213, -27.00267020185648, 18.767785846569243, -30.940673062304096, 0.0, 1.0, 0.9643361150575543, 2.694138765875524, 0.9614415211769308, 0.26525675804251875, 2.6701408303845846, 2.068186721021284, 0.6503344854096529, 0.38947639570014564, 179.25012538991803, 0
h1, h2, h3, h4, h5, h6, h7, d1, d2, d3, d4, d5, d6, d7, d8, d9, d10, d11, clase, 2.7097680638467256, 12.865019780560157, 17.329887821922913, 13.231330188262309, -28.511975174884604, -19.663843051114675, -30.402294530411535, 0.0, 1.0, 0.6962870467187064, 1.5761410986990438, 0.02464948608938371, 0.44721061252351324, 0.12044205432461691, 0.301376809005959, 0.13491741398886242, 0.9341439332541466, 11.55348191153086, 0
h1, h2, h3, h4, h5, h6, h7, d1, d2, d3, d4, d5, d6, d7, d8, d9, d10, d11, clase, 2.948201549457208, 9.929353703363581, 15.526977370281532, 10.935229814771487, 24.168379430979797, 15.899908735407678, -25.180277445614436, 0.0, 1.0, 0.8476446267648861, 0.9029583942508944, 0.4214519796672086, 0.3540108488539739, 0.841978128372079, 0.772525768196009, 1.1505870034643544, 2.101012297159972, 23.607850325987908, 0
h1, h2, h3, h4, h5, h6, h7, d1, d2, d3, d4, d5, d6, d7, d8, d9, d10, d11, clase, 2.7030628471906475, 12.863895129096507, 16.20974571726572, 14.459054880343487, -29.7934556360641, 20.891002540624534, -32.63191437892666, 0.0, 1.0, 0.5717189480664332, 0.8348041647580277, 0.7236367956420261, 0.3739820952598989, 1.2845835402644092, 1.0262601333325034, 0.935537909255362, 1.3908186871521064, 57.56270569993293, 0
h1, h2, h3, h4, h5, h6, h7, d1, d2, d3, d4, d5, d6, d7, d8, d9, d10, d11, clase, 3.0476906058768396, 11.131880086412972, 15.037666000443576, 12.809922906003122, -26.7337189738237, -18.375863197096905, 29.298063223110102, 0.0, 1.0, 0.6962870467187064, 1.5761410986990438, 0.02464948608938371, 0.44721061252351324, 0.12044205432461691, 0.301376809005959, 0.13491741398886242, 0.9341439332541466, 11.55348191153086, 0
h1, h2, h3, h4, h5, h6, h7, d1, d2, d3, d4, d5, d6, d7, d8, d9, d10, d11, clase, 2.8324476725087466, 9.719230574110973, 13.443486409779865, 11.153800912306917, -23.4524637706735, -16.013420107163316, -25.47921099155765, 0.0, 1.0, 0.6962870467187064, 1.5761410986990438, 0.02464948608938371, 0.44721061252351324, 0.12044205432461691, 0.301376809005959, 0.13491741398886242, 0.9341439332541466, 11.55348191153086, 0
h1, h2, h3, h4, h5, h6, h7, d1, d2, d3, d4, d5, d6, d7, d8, d9, d10, d11, clase, 2.9565190214106507, 9.843715827153337, 13.810012924109644, 11.317674219590725, -23.881534655212693, -16.239534735983607, 25.936426022944886, 0.0, 1.0, 0.6962870467187064, 1.5761410986990438, 0.02464948608938371, 0.44721061252351324, 0.12044205432461691, 0.301376809005959, 0.13491741398886242, 0.9341439332541466, 11.55348191153086, 0
h1, h2, h3, h4, h5, h6, h7, d1, d2, d3, d4, d5, d6, d7, d8, d9, d10, d11, clase, 2.920449977574958, 11.8045454978337, 18.07456272924328, 12.115065565679828, -27.32052703419306, 18.017342785686818, 27.409265962030407, 0.0, 1.0, 0.7015122376620012, 0.8833746242954463, 0.37937246444097744, 0.3184388360376517, 0.8098114270677796, 0.778925687436847, 1.1290206495435713, 2.144000716000443, 23.809984375723058, 0
h1, h2, h3, h4, h5, h6, h7, d1, d2, d3, d4, d5, d6, d7, d8, d9, d10, d11, clase, 3.0081384648116716, 10.78167959830373, 14.75658935807574, 12.368383514982899, -25.930870241359624, -17.75922333873529, 28.868162543069634, 0.0, 1.0, 0.6962870467187064, 1.5761410986990438, 0.02464948608938371, 0.44721061252351324, 0.12044205432461691, 0.301376809005959, 0.13491741398886242, 0.9341439332541466, 11.55348191153086, 1
